,OBJECTID,INDEX,ACCNUM,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y,YEAR,MONTH,DAY,WEEKDAY
OBJECTID,1.0,0.8752672415779111,0.5742580688653522,0.052730211268844814,0.008899524639431066,0.017189303783469036,-0.43647906713327556,0.002367781411335557,0.003503619673881886,-0.002570786446361443,0.005380351376834273,-0.16702433747430778,0.027043945892576783,-0.054003202944944234,0.08594906397557145,-0.047742651794534505,-0.04952305693419592,0.02646562668848059,-0.12255814259472816,-0.1665474212324903,-0.06672183059181062,0.12995326797773565,0.03001717453519968,0.22973503007115,0.004922463291425297,-0.06062009706493913,-0.04789340691823196,0.04017459660872744,-0.0455196574006543,-0.03553523454101936,-0.014345836533027657,-0.02879161451765248,-0.026612328576817914,0.035912602299309995,0.026429285436823508,-0.03545434470339454,0.11267226506828831,-0.0033323990071998334,0.013358280481883601,0.04713472885389693,0.031541308970381356,0.043002149739237716,0.03094811128502105,-0.02771785354091085,-0.04964953138085087,-0.03808443739350847,0.039931495371390915,-0.03885081490311899,0.009090525429848504,-0.02961529532716322,-0.01353704563123986,0.005437487969794639,-0.002399851155312312,0.9936363596520413,0.08440831034777163,0.008911477329302748,0.020394635208839773
INDEX,0.8752672415779111,1.0,0.7840005817118361,0.05044118273385853,-0.012014300893037457,0.02524197064013838,-0.47414956736551456,-0.003255455195854459,-0.02617507205648649,0.015699688416205507,0.0018657354516917832,-0.20084929701283274,0.018796210532000725,-0.053423179815851075,0.0569821635631392,-0.04913486146221926,-0.034888228584850994,0.022771109020530755,-0.13453637560966372,-0.20102297831519347,-0.07728043374507243,0.16383296165238234,0.033647881286224944,0.26357795386043925,-0.002073493280569876,-0.06502090956345895,-0.055134194729212486,0.03431486857797459,-0.04257253845143132,-0.036032764092264184,-0.00884041325818529,-0.02251105985240146,-0.022477726929259197,0.021027701128122692,0.009612575692162676,-0.009248119424257255,0.0977983380203863,-0.015370914014187982,-0.010518593920220698,0.049616101005406435,0.07977554064344526,0.058701792535884596,0.039312401373021076,-0.01476684095404266,-0.03880235104708683,-0.030041985151309236,0.02044106494764997,-0.0439238578101547,-0.002343780997255876,-0.02872239247119891,-0.022202708957543414,0.0016346183058314838,0.015586142671511392,0.8736747516729512,0.04007910617281149,0.011288422294074342,0.029204236264956825
ACCNUM,0.5742580688653522,0.7840005817118361,1.0,0.04994602860604552,0.005929196216532631,0.03969847690625659,-0.3458816114226759,0.030806770570877346,0.028115299053611313,0.004748647105388787,-0.014849037577514783,-0.07309005989347095,0.031279409933133356,-0.0505980326769284,0.04202684574680814,-0.04708776411504084,0.02984620014514523,0.030986381106360192,-0.0962494917710654,-0.14314089333077745,-0.04576409676319731,0.0627446157235508,0.02579368717371726,0.19872791402413242,0.014838565942853954,-0.05231058483071139,-0.033845138052079164,0.005849363915611455,-0.016007206011195273,-0.0007089332125693446,-0.005444664548517796,-0.020594596056762317,-0.017893826014900402,-0.004087284462838568,0.01890209523809254,-0.012649184366905509,0.06705393455799323,-0.004689353974499455,0.004586373295763982,0.061058163593093594,0.05623185176384513,0.02354031818782688,0.03688734898145052,0.010722755001971158,-0.025959197645827083,-0.0288680757264247,0.009614333276362607,-0.009249583502909024,-0.01754935369090557,0.005164471385548382,-0.015069863899026576,-0.015007172482294044,0.004334770910965964,0.5784583554963433,0.05676233158213521,0.008868218237579086,0.03906835759594377
TIME,0.052730211268844814,0.05044118273385853,0.04994602860604552,1.0,-6.604793054632889e-05,0.006127162380461,-0.018747603476578743,-0.006160423771327892,-0.03626368478234799,0.033325234335202326,0.010044962310720459,-0.011361221352037995,-0.005710495843623316,0.019546696230882742,-0.0050708570948186016,-0.00424840490487353,0.030384431647706277,0.05189939169882355,-0.026461457201852716,-0.015182553215529655,0.017732748441007796,0.048066955476874645,0.013656510309242052,-0.002388751750661203,0.02174077663564902,-0.030522482799454447,0.027516087097978092,0.02159695692766879,-0.027028065928210207,-0.015561532044140436,-0.01835345935109868,-0.02173017811939331,-0.020545998930763167,0.03436689081284706,0.04051819329981705,0.030140167480682312,0.07878115977184251,-0.05485613271155915,-0.02954974603895371,0.008381136883186192,-0.0021236703846888878,-0.0692433987265442,-0.02812734073774038,-0.05278341796665878,-0.0855152061977952,-0.00900503539322745,-0.007820095565001598,-0.03622683250607319,-0.014220630966862205,-0.03016266574067578,0.02534703528483706,0.009639445539979216,0.03320188555548263,0.053915948912385096,0.03204512973266321,0.011753275845735097,-0.04819104067496866
STREET1,0.008899524639431066,-0.012014300893037457,0.005929196216532631,-6.604793054632889e-05,1.0,-0.09406152902077841,0.02640194097555856,0.08151681192795829,-0.02346879321382964,0.07884224593686835,0.01951306347107236,-0.16288634908172825,0.19285635880283125,-0.0002306085133499818,0.00032467879705455686,0.016986127589657715,-0.026130072389786006,-0.002243917805575166,0.011341386755631485,-0.00475454201043313,0.0013276279359899573,-0.038822976223519684,0.009513349816414133,0.00891291203314634,0.021939762045772214,-0.0329008580850174,0.006826110788358453,0.03796819619953033,-0.040967210570506486,-0.003217691495157093,0.020405103393265837,0.012177934126652,0.015475089304433424,0.016503314620663175,-0.030678843771735544,-0.03632661494431483,0.008540493898621009,0.007424595587103247,0.06440723887328181,-0.01463529163257289,0.012152827629786882,-0.01647051511921636,0.036421863296179614,0.06670848080918208,-0.02213623607564562,0.017212547853473686,0.06528108823124039,0.0702846595508223,0.01910480914683805,0.06685963873666385,0.022267166449012613,0.018458322566612156,0.0784554404957242,0.008510521392245262,-0.003343108026743519,-0.00017149532837736512,-0.009679551804102756
STREET2,0.017189303783469036,0.02524197064013838,0.03969847690625659,0.006127162380461,-0.09406152902077841,1.0,0.003952778570428205,-0.018600968510054293,-0.047944746333401844,0.0309063834618424,-0.01640502951149319,0.01655952314601744,-0.012056096461348472,-0.012779407863287729,0.024415474751354697,-0.004919825941054261,0.009630420221225003,0.009343141248984747,-0.0005476579099033751,0.005600670862548774,0.005098724135942509,-0.0007850389517000969,0.020939662562332585,0.008833368438752334,0.003965743041829207,-0.004969547283284207,-0.00990216575375652,-0.005380772079290045,0.004097391558811038,0.0026017762871890435,-0.004247903928786707,-0.0012928302976666691,-0.0024770097896449584,-0.001755377787900518,0.0034660608084212674,-0.000976638779733119,0.016060366999275884,0.010047573057312157,0.0012307977582148822,0.010095563854498987,-0.02740328127621642,-0.010393224127662306,-0.0027461982957654525,0.004648276872294633,0.00546935506442949,0.007294518498353738,-0.0025955838424229624,0.036604010025788704,-0.041417941533163055,0.015066262823823489,-0.0014981558329353493,-0.016989466539029333,0.030160643515017467,0.01701511247782863,0.008368428319309161,-0.009804741514181554,-0.020547071799308064
OFFSET,-0.43647906713327556,-0.47414956736551456,-0.3458816114226759,-0.018747603476578743,0.02640194097555856,0.003952778570428205,1.0,0.023963100390809355,-0.013570723549708908,0.004519132853166912,-0.0074001118108812484,-0.038439435029831756,0.16435512622907175,0.026125208304295905,-0.019661968349673944,0.035143250745930034,-0.10398343121741271,-0.00033053328549953166,0.06892963095031074,0.11217406993210002,0.035256409650705825,-0.025292793520705816,-0.031889602902723774,-0.11386273699383062,0.03590567174940554,0.012755467599132118,0.037140549503882535,0.03548225835567385,-0.03253663857938728,0.022442165342161324,0.011792493280736628,-0.0016408346181703863,0.012501830261831584,0.024109848372447444,0.0027263661741352267,0.02180573472800564,-0.04748789190897795,0.0069830346412453025,-0.004203508103846628,-0.011231322785148861,-0.046867428942745995,-0.05338249349322967,0.03872413460319034,0.08777710728248614,-0.00528391456471083,-0.011683971104401282,-0.014013478409211999,0.014210102179976302,-0.0031127064378582243,0.00850113241148641,0.0057798401100178495,-0.007492659015209611,0.004255097905525144,-0.44297836360331305,-0.021281610038726206,0.004338010140939425,-0.023453037305207747
ROAD_CLASS,0.002367781411335557,-0.003255455195854459,0.030806770570877346,-0.006160423771327892,0.08151681192795829,-0.018600968510054293,0.023963100390809355,1.0,0.13119549550751253,-0.10552807393952172,0.025972744425219876,-0.03035360382278215,0.036268752016704334,0.0003131030500231055,-0.013413736673185569,-0.002241420088122957,0.004954661275150816,-0.003718332702017591,-0.010446687541041956,-0.006737792019312517,0.0050174112967044954,-0.024222293456804576,0.00876633377236995,-0.002118634467490696,0.003647149230104879,-0.021477812734929644,0.006156166410780702,-0.025182337844697176,0.003089283736899813,0.020708436735491317,-0.0060632378012597105,-0.0070454407355026415,0.002846173114882164,-0.0381262112516945,0.011652461397483958,0.007348798944361718,0.007923132136309706,0.0008553541051415872,0.012061334213503028,0.010253631112561662,0.021334436377243738,-0.014771233257091074,0.01415091236146481,0.019210797748645442,-0.012455033094080562,-0.0012305263021695056,0.03513798195791654,-0.017655327642001405,0.027908621587768172,-0.004920644261880597,0.005909004427735658,0.02763730089656515,-0.10368651361774756,0.0032611521724209883,-0.013099109429929751,0.005046205304312,-0.014521077791236667
DISTRICT,0.003503619673881886,-0.02617507205648649,0.028115299053611313,-0.03626368478234799,-0.02346879321382964,-0.047944746333401844,-0.013570723549708908,0.13119549550751253,1.0,-0.20188107485094184,0.5262136067495755,0.02044485488406217,-0.029119747865068032,0.0021386117790458746,-0.006592741288342022,0.011793232290049659,0.04344662493912824,-0.06599487649363578,-0.0013963303672756427,-0.012248394778997225,0.024278540321368274,0.05083631179851372,0.0005181412820890985,0.006553068981697622,-0.018527299931950143,0.041984411871223815,0.03082970631170102,0.008284609271651443,-0.006205584936095413,-0.022892457032360255,-0.08456051664245436,-0.09044179155937104,-0.07822660147613467,0.04821143528588243,0.15674625225647756,-0.08004396988718741,0.016909554676158074,-0.025371659397872368,0.04406230011062856,0.01899926003354325,-0.05571861699337351,-0.03961118139294308,-0.06552078723683413,-0.04199466313092429,-0.01861583369001396,-0.019682086964503964,0.4337422589960666,0.021758041935897494,0.5210908406437968,-0.020823087521614925,0.3836427563910484,0.5325175880750443,-0.18640295752649955,0.007262906346009265,0.005892535799563548,-0.023502450100001616,0.01962913899926913
LATITUDE,-0.002570786446361443,0.015699688416205507,0.004748647105388787,0.033325234335202326,0.07884224593686835,0.0309063834618424,0.004519132853166912,-0.10552807393952172,-0.20188107485094184,1.0,0.4205172763752705,-0.054137953244378964,0.059894218170815805,0.017548867105580183,0.005651043018605483,0.03179462868201407,-0.058542725416872395,0.03111400785681744,0.0034787530968510274,0.005269007137597683,-0.022864739699366813,0.048891415866503765,-0.012171201637560788,0.00908221194658026,0.020343373630814454,-0.02592798535451034,-0.011159154469122034,0.012870868282952166,-0.027418574744687386,0.018873967325795177,0.08266196299232959,0.0764591179632446,0.07105308433606916,0.007189454907892158,-0.13855283926320744,0.08542961936061796,-0.0557254669329842,-0.020501803078539427,-0.042072109419143994,-0.019268826473373777,0.06826710044014592,0.01733548623881122,0.0614796174722449,0.06002770073751173,-0.003046694142354137,0.020529096828783813,-0.04625263138276527,-0.06757319378616215,0.24420131824000768,0.011134462591728032,0.20431251624717972,0.40852317866479765,0.9997297011735962,-0.004956198596454745,0.01044145683971667,-0.022566808626363365,-0.02483143269299117
LONGITUDE,0.005380351376834273,0.0018657354516917832,-0.014849037577514783,0.010044962310720459,0.01951306347107236,-0.01640502951149319,-0.0074001118108812484,0.025972744425219876,0.5262136067495755,0.4205172763752705,1.0,-0.01747939052374014,0.0032957346874046374,0.009480231772027854,0.007446201257069233,0.02133318651786326,-0.022089128661248653,-0.010303212228858445,-0.00012040980104944147,-0.012088358486760495,-0.0015533570558287602,0.08230572284074848,0.001063513026944931,0.012484330458410043,-0.004489365443470262,0.016395632466683508,0.005872873180318656,0.013127011264634081,-0.020897001854070153,-0.005883058719077872,-0.0020445052633288356,-0.009276099982318025,-0.005357704273646892,0.030400126736379502,0.010213619930051532,0.0031394358514424993,0.0008059639018175918,-0.05144021770347573,-0.014146748532162736,-0.0058873880058632295,0.015379616311974351,-0.005446642989184393,-0.005200079941759939,0.008751951609911953,-0.00014319329343056347,0.004369517218249412,0.5044331705705875,-0.10275219946566354,0.7712752884401352,-0.05501094471772541,0.5896742899334527,0.9999127791590009,0.4414810633752584,0.002462006820803647,0.001991815737333884,-0.0215992243816193,0.004313371919908271
ACCLOC,-0.16702433747430778,-0.20084929701283274,-0.07309005989347095,-0.011361221352037995,-0.16288634908172825,0.01655952314601744,-0.038439435029831756,-0.03035360382278215,0.02044485488406217,-0.054137953244378964,-0.01747939052374014,1.0,-0.589213671726688,0.019008449907332487,-0.0702460475416438,0.008322409923809147,-0.04203252454480469,-0.013068135023523947,0.042316088486459146,0.0554430615468642,0.003364287691192218,-0.008251791921986888,-0.0004114912752374973,-0.04108123859930815,-0.14084872453795003,0.08966228232716933,0.022104823002358838,-0.12386713743601915,0.1478814282338631,-0.002497417281586243,-0.003972356525699274,0.035793923872128555,0.030422858334327396,-0.03246174094657943,-0.0485301782406964,-0.03267826984387088,-0.01563857049271858,-0.006950805234073851,0.018956273578994435,-0.015371679435028646,-0.010506881631675907,0.060353717952781126,-0.19425725539352137,-0.21023701809323503,0.057156117447729575,0.016814637446124762,-0.006144893250226487,-0.0018412069863123599,-0.017751052697622557,0.009197463571560437,-0.01476876510124653,-0.01682305151157198,-0.05396601119578109,-0.16505575259384955,0.0077348797608998866,-0.0031245496947735828,0.00772665149555562
TRAFFCTL,0.027043945892576783,0.018796210532000725,0.031279409933133356,-0.005710495843623316,0.19285635880283125,-0.012056096461348472,0.16435512622907175,0.036268752016704334,-0.029119747865068032,0.059894218170815805,0.0032957346874046374,-0.589213671726688,1.0,0.0008477413088034162,0.05318675315404202,0.017906582751220937,0.044993416197484204,-0.0025591419233008373,-0.007305712219365788,-0.017030285225101624,0.00690956576517251,-0.046131080016856875,-0.014679529043206218,0.008180028524676352,0.1630727030999392,-0.08894213423924927,-0.0015277630040675886,0.1408447552211019,-0.167382141720637,0.019750170505093905,0.0210979319077467,-0.006033372265440915,-0.0009417208939287223,0.02823083080498454,0.004232824983438338,0.02602200392587405,-0.04200466355351246,0.03190931133047023,-0.004339141791897909,0.005814141906300787,0.02797300671698982,-0.09718691839390924,0.19822696792892366,0.33119741229892136,-0.0549942492399897,-0.025506437580426717,0.016173597017422672,0.011953597372156113,0.007565152572217631,0.010095728075394807,0.010848621488029108,0.00245411974103532,0.059303005252401716,0.02889583341554765,0.0033372360626400936,-0.004473569567068176,-0.007838530196052827
VISIBILITY,-0.054003202944944234,-0.053423179815851075,-0.0505980326769284,0.019546696230882742,-0.0002306085133499818,-0.012779407863287729,0.026125208304295905,0.0003131030500231055,0.0021386117790458746,0.017548867105580183,0.009480231772027854,0.019008449907332487,0.0008477413088034162,1.0,-0.16389228939026676,0.7528013402328866,0.007594532090501241,-0.04208188803758834,0.02945108760785336,0.014518021737797234,0.0005296956889517726,-0.018514870490035244,-0.015092446220514496,0.009023628860919211,0.0017596932215428935,0.026002790019776557,0.023107937672059896,0.06531401105912356,-0.05290806238610295,-0.05319268180073482,0.03195905568561835,0.03522381552766805,0.03794514651565224,0.10373012076687865,-0.06162232663271278,0.009525856023174472,-0.09352475610524513,-0.016348584543141538,0.0020979438747989665,0.010105564364944824,-0.031050927508286915,0.01179310532167812,-0.01843959540201903,-0.030417715876744404,-0.0003483621823349311,-0.022320395242881434,-0.0169845687607615,-0.007406331289979622,0.008995354055910386,-0.00995972710066632,-0.004006040730652016,0.009277738013822081,0.017590718727917596,-0.05572850668518177,0.02541940830246466,0.01889569808323172,0.010704285899943697
LIGHT,0.08594906397557145,0.0569821635631392,0.04202684574680814,-0.0050708570948186016,0.00032467879705455686,0.024415474751354697,-0.019661968349673944,-0.013413736673185569,-0.006592741288342022,0.005651043018605483,0.007446201257069233,-0.0702460475416438,0.05318675315404202,-0.16389228939026676,1.0,-0.16696605205587906,0.046310666346748845,-0.01462765319899427,-0.03926749657417207,0.05312203162597599,0.01695110729609621,-0.003345216906790119,-0.004917423129323618,-0.014315266292091438,0.07336944510150151,-0.055380390313825065,0.0018836374841123646,0.009733620301343875,-0.0076798183342620206,0.04258742504062005,-0.04714882516474969,-0.05718489010104625,-0.04579316643389641,-0.030230680328024128,0.10029660909227082,-0.0695447948846837,0.0527697765285167,0.08111044407557451,0.036051458778648786,-0.01502246709159515,-0.08595153573205637,-0.1441633900730627,-0.003919378398856368,0.006432659890998363,-0.1746406890561794,0.05548609594195926,0.003451281686250421,-0.009346966825100793,0.006893823128650559,-0.024346462782866753,0.008924014294789125,0.007400447348423776,0.005754635786393252,0.084115020811268,-0.045958366543765915,0.004184653862405288,-0.08493716414773647
RDSFCOND,-0.047742651794534505,-0.04913486146221926,-0.04708776411504084,-0.00424840490487353,0.016986127589657715,-0.004919825941054261,0.035143250745930034,-0.002241420088122957,0.011793232290049659,0.03179462868201407,0.02133318651786326,0.008322409923809147,0.017906582751220937,0.7528013402328866,-0.16696605205587906,1.0,-0.000799724005485725,-0.02736947256433787,0.02998236955539667,0.008192181802841446,-0.0015792952327474048,-0.0923468081789875,-0.013705518132319839,0.0134055744120812,0.005995818772176683,0.01714306267744939,0.016565073572918223,0.06878763860617455,-0.05474677729508044,-0.054375676802768336,0.038411009734990516,0.04094976831149464,0.042923889038106046,0.11110467660002252,-0.07309896517398917,0.007862603597792176,-0.10883099128804402,-0.008954515643659428,-0.004448643628946338,0.039249390643854506,-0.02715744409437501,-0.010729135066963182,-0.011226232977711508,-0.01697462340985714,0.006084023576949506,-0.025536520209332995,-0.014680508685971098,0.015808879245994768,0.011487191386357154,0.003451644746964611,0.0022591346827407262,0.021003882353801816,0.03197621951884329,-0.04869047419314296,-0.01502089850199412,0.004640370273052393,0.0012787635798324833
ACCLASS,-0.04952305693419592,-0.034888228584850994,0.02984620014514523,0.030384431647706277,-0.026130072389786006,0.009630420221225003,-0.10398343121741271,0.004954661275150816,0.04344662493912824,-0.058542725416872395,-0.022089128661248653,-0.04203252454480469,0.044993416197484204,0.007594532090501241,0.046310666346748845,-0.000799724005485725,1.0,0.024933432719769704,-0.05946177168424993,-0.04612013299785023,0.07464377454507141,,-0.015503930568202403,-0.08598767089624233,0.047014960049598584,-0.018394204142646125,-0.04355867872115695,-0.03024157133300406,0.028402364471061103,0.006631347184357923,-0.04364052182989825,-0.04792342623776063,-0.05485873449301943,-0.09918116031773372,0.0751334868758582,0.07470054448733746,0.005434439375557626,-0.11116921070089618,-0.04723913327908253,0.014639547572726345,0.003983606725447543,-0.09021294030523452,0.032865565453169585,0.006108463060404397,-0.02866994505546501,0.006961893423324059,0.01600823951461263,-0.00569740723014233,-0.012815086949463253,-0.013848380307684352,-0.007306982537527692,-0.02136669965123542,-0.05848297258280625,-0.04979886972542977,-0.006155117005712935,0.008246886508324646,0.008239514108325716
IMPACTYPE,0.02646562668848059,0.022771109020530755,0.030986381106360192,0.05189939169882355,-0.002243917805575166,0.009343141248984747,-0.00033053328549953166,-0.003718332702017591,-0.06599487649363578,0.03111400785681744,-0.010303212228858445,-0.013068135023523947,-0.0025591419233008373,-0.04208188803758834,-0.01462765319899427,-0.02736947256433787,0.024933432719769704,1.0,0.0256405495916957,-0.025005362356519515,-0.013494589955614656,0.0017553688160348007,-0.008619703943673588,-0.004603573677807425,0.13696187650266567,-0.041321365652268696,-0.07651840952983961,-0.08150855532725243,0.05284833176942047,0.07663801300914154,0.16543072192658131,0.17982347824793724,0.17566507232700748,-0.17130959448097693,-0.3069828147157386,0.04701250708730632,0.299615324111978,-0.018952018413936744,-0.04715209383784984,-0.012608040050298988,0.11262905579787011,0.05796741678033301,0.020467335138192638,-0.1915315800638141,0.002232032702260234,0.01821823444854726,-0.013581155375669493,-0.01389327005388479,-0.020517119856601373,0.020362047186568335,-0.03648557877207677,-0.01085990222681751,0.03053541573439089,0.026617393454001093,0.025792803248254656,0.01721128045831989,0.012331183998946572
